network,station,channel,latitude,longitude,elevation
Z6,60,DP2,47.600557,-122.305501,80
Z6,60,DPZ,47.600557,-122.305501,80
Z6,61,DP1,47.603318,-122.308272,91
Z6,61,DP2,47.603318,-122.308272,91
Z6,61,DPZ,47.603318,-122.308272,91
Z6,62,DP1,47.604982,-122.30813,99
Z6,62,DP2,47.604982,-122.30813,99
Z6,62,DPZ,47.604982,-122.30813,99
Z6,63,DP1,47.606739,-122.307083,98
Z6,63,DP2,47.606739,-122.307083,98
Z6,63,DPZ,47.606739,-122.307083,98
Z6,64,DP1,47.608819,-122.307228,101
Z6,64,DP2,47.608819,-122.307228,101
Z6,64,DPZ,47.608819,-122.307228,101
Z6,65,DP1,47.61203,-122.305562,103
Z6,65,DP2,47.61203,-122.305562,103
Z6,65,DPZ,47.61203,-122.305562,103
Z6,66,DP1,47.614767,-122.307416,113
Z6,66,DP2,47.614767,-122.307416,113
Z6,66,DPZ,47.614767,-122.307416,113
Z6,67,DP1,47.616648,-122.292779,53
Z6,67,DP2,47.616648,-122.292779,53
Z6,67,DPZ,47.616648,-122.292779,53
Z6,68,DP1,47.615017,-122.292269,84
Z6,68,DP2,47.615017,-122.292269,84
Z6,68,DPZ,47.615017,-122.292269,84
Z6,69,DP1,47.611277,-122.294262,82
Z6,69,DP2,47.611277,-122.294262,82
Z6,69,DPZ,47.611277,-122.294262,82
Z6,70,DP1,47.609835,-122.296796,75
Z6,70,DP2,47.609835,-122.296796,75
Z6,70,DPZ,47.609835,-122.296796,75
Z6,71,DP1,47.607695,-122.294191,87
Z6,71,DP2,47.607695,-122.294191,87
Z6,71,DPZ,47.607695,-122.294191,87
Z6,72,DP1,47.605825,-122.294336,101
Z6,72,DP2,47.605825,-122.294336,101
Z6,72,DPZ,47.605825,-122.294336,101
Z6,73,DP1,47.604728,-122.294483,101
Z6,73,DP2,47.604728,-122.294483,101
Z6,73,DPZ,47.604728,-122.294483,101
Z6,74,DP1,47.602546,-122.293821,96
Z6,74,DP2,47.602546,-122.293821,96
Z6,74,DPZ,47.602546,-122.293821,96
Z6,75,DP1,47.599411,-122.293251,93
Z6,75,DP2,47.599411,-122.293251,93
Z6,75,DPZ,47.599411,-122.293251,93
Z6,76,DP1,47.596494,-122.294368,91
Z6,76,DP2,47.596494,-122.294368,91
Z6,76,DPZ,47.596494,-122.294368,91
Z6,77,DP1,47.594971,-122.294029,85
Z6,77,DP2,47.594971,-122.294029,85
Z6,77,DPZ,47.594971,-122.294029,85
Z6,78,DP1,47.592404,-122.295035,59
Z6,78,DP2,47.592404,-122.295035,59
Z6,78,DPZ,47.592404,-122.295035,59
Z6,79,DP1,47.58935,-122.295834,84
Z6,79,DP2,47.58935,-122.295834,84
Z6,79,DPZ,47.58935,-122.295834,84
Z6,80,DP1,47.588547,-122.294049,67
Z6,80,DP2,47.588547,-122.294049,67
Z6,80,DPZ,47.588547,-122.294049,67
Z6,81,DP1,47.587176,-122.293589,79
Z6,81,DP2,47.587176,-122.293589,79
Z6,81,DPZ,47.587176,-122.293589,79
Z6,82,DP1,47.577747,-122.302479,84
Z6,82,DP2,47.577747,-122.302479,84
Z6,82,DPZ,47.577747,-122.302479,84
Z6,83,DP1,47.573929,-122.300455,55
Z6,83,DP2,47.573929,-122.300455,55
Z6,83,DPZ,47.573929,-122.300455,55
Z6,84,DP1,47.569406,-122.301021,90
Z6,84,DP2,47.569406,-122.301021,90
Z6,84,DPZ,47.569406,-122.301021,90
Z6,85,DP1,47.567864,-122.301905,94
Z6,85,DP2,47.567864,-122.301905,94
Z6,85,DPZ,47.567864,-122.301905,94
Z6,86,DP1,47.566667,-122.301895,94
Z6,86,DP2,47.566667,-122.301895,94
Z6,86,DPZ,47.566667,-122.301895,94
Z6,87,DP1,47.564594,-122.301337,94
Z6,87,DP2,47.564594,-122.301337,94
Z6,87,DPZ,47.564594,-122.301337,94
Z6,906,DP1,47.574457,-122.291247,24
Z6,906,DP2,47.574457,-122.291247,24
Z6,906,DPZ,47.574457,-122.291247,24
Z6,907,DP1,47.615562,-122.298982,75
Z6,907,DP2,47.615562,-122.298982,75
Z6,907,DPZ,47.615562,-122.298982,75
Z6,908,DP1,47.613924,-122.298977,79
Z6,908,DP2,47.613924,-122.298977,79
Z6,908,DPZ,47.613924,-122.298977,79
Z6,909,DP1,47.611308,-122.300769,91
Z6,909,DP2,47.611308,-122.300769,91
Z6,909,DPZ,47.611308,-122.300769,91
Z6,910,DP1,47.609669,-122.300657,85
Z6,910,DP2,47.609669,-122.300657,85
Z6,910,DPZ,47.609669,-122.300657,85
Z6,911,DP1,47.607397,-122.299903,85
Z6,911,DP2,47.607397,-122.299903,85
Z6,911,DPZ,47.607397,-122.299903,85
Z6,912,DP1,47.60427,-122.300609,94
Z6,912,DP2,47.60427,-122.300609,94
Z6,912,DPZ,47.60427,-122.300609,94
Z6,913,DP1,47.602812,-122.301986,94
Z6,913,DP2,47.602812,-122.301986,94
Z6,913,DPZ,47.602812,-122.301986,94
Z6,914,DP1,47.601562,-122.300672,91
Z6,914,DP2,47.601562,-122.300672,91
Z6,914,DPZ,47.601562,-122.300672,91
Z6,916,DP1,47.599902,-122.298459,82
Z6,916,DP2,47.599902,-122.298459,82
Z6,916,DPZ,47.599902,-122.298459,82
Z6,918,DP1,47.596337,-122.299571,76
Z6,918,DP2,47.596337,-122.299571,76
Z6,918,DPZ,47.596337,-122.299571,76
Z6,919,DP1,47.595161,-122.298616,65
Z6,919,DP2,47.595161,-122.298616,65
Z6,919,DPZ,47.595161,-122.298616,65
Z6,920,DP1,47.593618,-122.299262,65
Z6,920,DP2,47.593618,-122.299262,65
Z6,920,DPZ,47.593618,-122.299262,65
Z6,922,DP1,47.587569,-122.300367,37
Z6,922,DP2,47.587569,-122.300367,37
Z6,922,DPZ,47.587569,-122.300367,37
Z6,923,DP1,47.581125,-122.306064,76
Z6,923,DP2,47.581125,-122.306064,76
Z6,923,DPZ,47.581125,-122.306064,76
Z6,924,DP1,47.579716,-122.306668,61
Z6,924,DP2,47.579716,-122.306668,61
Z6,924,DPZ,47.579716,-122.306668,61
Z6,927,DP1,47.598036,-122.299243,79
Z6,927,DP2,47.598036,-122.299243,79
Z6,927,DPZ,47.598036,-122.299243,79
Z6,928,DP1,47.592347,-122.298973,57
Z6,928,DP2,47.592347,-122.298973,57
Z6,928,DPZ,47.592347,-122.298973,57
Z6,929,DP1,47.576238,-122.307312,81
Z6,929,DP2,47.576238,-122.307312,81
Z6,929,DPZ,47.576238,-122.307312,81
Z6,930,DP1,47.577676,-122.305591,66
Z6,930,DP2,47.577676,-122.305591,66
Z6,930,DPZ,47.577676,-122.305591,66
Z6,931,DP1,47.581049,-122.302368,76
Z6,931,DP2,47.581049,-122.302368,76
Z6,931,DPZ,47.581049,-122.302368,76
Z6,932,DP1,47.573736,-122.307199,91
Z6,932,DP2,47.573736,-122.307199,91
Z6,932,DPZ,47.573736,-122.307199,91
Z6,940,DP1,47.572406,-122.307602,94
Z6,940,DP2,47.572406,-122.307602,94
Z6,940,DPZ,47.572406,-122.307602,94
Z6,941,DP1,47.591269,-122.29924,52
Z6,941,DP2,47.591269,-122.29924,52
Z6,941,DPZ,47.591269,-122.29924,52
Z6,97,DP1,47.579436,-122.291751,46
Z6,97,DP2,47.579436,-122.291751,46
Z6,97,DPZ,47.579436,-122.291751,46
Z6,98,DP1,47.581239,-122.292286,55
Z6,98,DP2,47.581239,-122.292286,55
Z6,98,DPZ,47.581239,-122.292286,55
Z6,99,DP1,47.586046,-122.292593,73
Z6,99,DP2,47.586046,-122.292593,73
Z6,99,DPZ,47.586046,-122.292593,73
